,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,1.81,75,20,1.03,AR,1693471038
1,anadyr,64.75,177.4833,11.28,81,0,6.0,RU,1693470700
2,nikolayevsk-on-amure,53.1406,140.73,15.43,92,100,1.2,RU,1693471039
3,port-aux-francais,-49.35,70.2167,3.07,88,91,18.89,TF,1693471039
4,namibe,-15.1961,12.1522,22.31,74,25,3.8,AO,1693471039
5,waitangi,-43.9535,-176.5597,10.46,82,0,1.34,NZ,1693471040
6,blackmans bay,-43.0167,147.3167,9.18,75,19,5.18,AU,1693471040
7,arraial do cabo,-22.9661,-42.0278,16.98,100,0,1.54,BR,1693470917
8,broken hill,-31.95,141.4333,12.44,55,5,4.65,AU,1693471040
9,adamstown,-25.066,-130.1015,20.81,78,99,6.57,PN,1693471041
10,kailua-kona,19.6406,-155.9956,28.11,86,0,5.66,US,1693471041
11,balqash,46.8481,74.995,18.33,52,20,8.0,KZ,1693471042
12,tobruk,32.0836,23.9764,27.41,63,0,4.1,LY,1693471042
13,la'ie,21.6477,-157.9253,26.98,79,6,4.47,US,1693471042
14,thompson,55.7435,-97.8558,16.09,88,75,1.54,CA,1693471043
15,matai,-8.3,31.5167,27.58,24,0,0.98,TZ,1693471043
16,vorgashor,67.5833,63.95,12.95,66,100,2.48,RU,1693471043
17,al matlin,37.2452,10.05,26.77,61,40,3.27,TN,1693471044
18,turpan,42.9333,89.1667,40.13,13,0,0.97,CN,1693471044
19,tiksi,71.6872,128.8694,1.07,74,100,8.22,RU,1693471044
20,prince george,53.9166,-122.753,12.69,77,100,2.06,CA,1693471045
21,seaside,36.6111,-121.8516,16.95,87,0,2.06,US,1693471045
22,murzuq,25.9155,13.9184,37.45,16,3,9.9,LY,1693471045
23,bilibino,68.0546,166.4372,3.59,86,90,6.12,RU,1693471046
24,east london,-33.0153,27.9116,32.52,19,0,5.66,ZA,1693470897
25,west island,-12.1568,96.8225,27.99,74,40,6.69,CC,1693470797
26,olonkinbyen,70.9221,-8.7187,5.65,77,100,3.93,SJ,1693471046
27,fisterra,42.9049,-9.2629,20.01,85,2,1.34,ES,1693471047
28,chonchi,-42.6128,-73.8092,6.18,93,100,3.28,CL,1693471047
29,vallenar,-28.5708,-70.7581,15.55,41,0,1.11,CL,1693471048
30,papatowai,-46.5619,169.4708,7.96,88,38,2.97,NZ,1693471048
31,edinburgh of the seven seas,-37.0676,-12.3116,11.14,60,20,8.15,SH,1693471048
32,ribeira brava,32.65,-17.0667,26.11,76,49,0.89,PT,1693471048
33,taghazout,30.5426,-9.7112,21.43,78,4,1.31,MA,1693471049
34,mahina,-17.5065,-149.489,23.87,69,40,4.12,PF,1693470959
35,campos novos,-27.4017,-51.225,8.69,92,0,1.43,BR,1693471049
36,ribeira grande,38.5167,-28.7,22.65,88,40,2.57,PT,1693471021
37,puerto ayora,-0.7393,-90.3518,24.75,93,37,1.34,EC,1693471050
38,punta arenas,-53.15,-70.9167,2.41,80,23,10.13,CL,1693471050
39,fort bragg,35.139,-79.006,22.08,94,100,9.77,US,1693471050
40,ryotsu-minato,38.0833,138.4333,28.58,78,96,3.64,JP,1693470782
41,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,68,0,3.0,RU,1693471051
42,hobyo,5.3505,48.5268,29.66,55,14,10.95,SO,1693471051
43,hawaiian paradise park,19.5933,-154.9731,25.73,92,100,3.6,US,1693471052
44,portland,45.5234,-122.6762,18.67,82,100,0.43,US,1693471052
45,spassk,52.747,87.7545,27.23,39,28,0.83,RU,1693471052
46,yuzhno-kurilsk,44.0306,145.8556,18.9,97,94,6.82,RU,1693471053
47,bethel,41.3712,-73.414,17.79,79,79,1.34,US,1693471053
48,manokwari,-0.8667,134.0833,27.29,79,43,2.1,ID,1693471053
49,kerikeri,-35.2268,173.9474,8.28,88,45,0.75,NZ,1693471054
50,st. john's,47.5649,-52.7093,22.76,95,100,11.83,CA,1693471007
51,college,64.8569,-147.8028,11.18,96,75,1.54,US,1693471054
52,hadibu,12.65,54.0333,29.7,61,10,8.86,YE,1693471054
53,enewetak,11.3474,162.3373,28.82,81,74,6.93,MH,1693471054
54,chandler,33.3062,-111.8412,35.5,35,0,5.66,US,1693471055
55,toamasina,-18.1667,49.3833,25.0,69,40,5.14,MG,1693471055
56,ordynskoye,54.3656,81.8994,23.83,49,98,5.17,RU,1693471055
57,sur,22.5667,59.5289,34.63,50,10,1.49,OM,1693471056
58,iqaluit,63.7506,-68.5145,2.85,93,75,2.06,CA,1693470780
59,kourou,5.1552,-52.6478,24.03,91,23,2.14,GF,1693471036
60,noshiro,40.2039,140.0242,30.46,81,99,1.01,JP,1693471056
61,porto franco,-6.3383,-47.3992,24.04,69,6,0.57,BR,1693471057
62,usogorsk,63.4106,48.6872,19.39,54,84,0.93,RU,1693471057
63,iskateley,67.6803,53.1512,15.92,51,12,3.51,RU,1693471058
64,grytviken,-54.2811,-36.5092,-1.9,89,100,1.69,GS,1693471058
65,hermanus,-34.4187,19.2345,16.0,69,85,9.41,ZA,1693471058
66,lompoc,34.6391,-120.4579,16.08,96,0,0.0,US,1693471059
67,kampene,-3.6,26.6667,32.05,35,85,0.93,CD,1693471059
68,puerto natales,-51.7236,-72.4875,2.91,77,100,6.32,CL,1693471059
69,nazare,-13.035,-39.0144,20.59,99,45,0.91,BR,1693471059
70,san borja,-14.8167,-66.85,24.08,62,32,1.21,BO,1693471060
71,lihue,21.9789,-159.3672,26.77,78,0,8.23,US,1693471060
72,tazacorte,28.629,-17.9293,23.54,64,75,4.12,ES,1693471060
73,afaahiti,-17.75,-149.2833,22.93,75,90,4.27,PF,1693471061
74,spirit lake,43.4222,-95.1022,18.23,84,0,2.24,US,1693471061
75,fortuna,40.5982,-124.1573,16.19,96,100,4.63,US,1693471061
76,touros,-5.1989,-35.4608,25.14,73,2,5.79,BR,1693471062
77,linkou,45.3,130.2833,19.34,84,18,3.19,CN,1693471062
78,anna regina,7.2644,-58.5077,27.03,80,4,3.05,GY,1693471062
79,hamilton,39.1834,-84.5333,14.68,86,0,0.45,US,1693471063
80,ifaki,7.7894,5.2485,23.78,86,100,2.59,NG,1693471063
81,luimneach,52.6647,-8.6231,16.16,88,97,2.57,IE,1693471063
82,dudinka,69.4058,86.1778,10.9,37,80,7.23,RU,1693470825
83,uturoa,-16.7333,-151.4333,24.08,70,87,5.17,PF,1693471064
84,xilin hot,43.9667,116.0333,23.12,22,65,6.02,CN,1693470765
85,tangzhai,34.4328,116.5911,28.51,64,0,2.37,CN,1693471064
86,invercargill,-46.4,168.35,12.23,61,16,4.47,NZ,1693471065
87,usinsk,65.9939,57.5281,15.75,58,89,1.74,RU,1693471065
88,mahibadhoo,3.7833,72.9667,27.93,77,100,7.4,MV,1693471065
89,vakarai,55.6035,23.8213,19.29,83,100,5.05,LT,1693471066
90,isafjordur,66.0755,-23.124,10.02,87,75,0.51,IS,1693471066
91,whitehorse,60.7161,-135.0538,12.43,69,75,6.71,CA,1693471050
92,kaihua,23.3687,104.28,23.49,64,78,3.21,CN,1693471056
93,carbonear,47.7332,-53.2148,23.01,99,100,11.19,CA,1693471067
94,makurdi,7.7411,8.5121,25.8,85,100,3.16,NG,1693471067
95,margaret river,-33.95,115.0667,19.05,66,0,2.52,AU,1693470931
96,bermejillo,25.8833,-103.6167,23.52,42,78,1.67,MX,1693471068
97,san antonio de pale,-1.4014,5.6325,23.6,87,100,5.48,GQ,1693471068
98,naracoorte,-36.9579,140.7383,9.15,91,46,3.42,AU,1693471069
99,longyearbyen,78.2186,15.6401,7.91,76,75,7.72,SJ,1693471070
100,tokar,18.4254,37.729,36.68,34,64,12.76,SD,1693471070
101,kodiak,57.79,-152.4072,11.73,82,100,4.12,US,1693471070
102,menongue,-14.6585,17.691,27.52,10,0,3.62,AO,1693471071
103,paithan,19.4833,75.3833,35.48,28,12,3.4,IN,1693471072
104,klyuchi,52.2667,79.1667,17.58,56,100,2.1,RU,1693471072
105,papao,-17.75,-149.55,23.82,75,100,3.39,PF,1693471072
106,kismayo,-0.3582,42.5454,27.63,65,14,7.14,SO,1693471073
107,saldanha,-33.0117,17.9442,15.03,80,100,6.48,ZA,1693471073
108,bredasdorp,-34.5322,20.0403,18.33,53,87,9.21,ZA,1693471074
109,tura,25.5198,90.2201,31.84,58,58,1.6,IN,1693471074
110,santa ines,-3.6667,-45.38,21.77,98,9,0.92,BR,1693471074
111,bom jesus,-9.0744,-44.3586,23.96,47,3,0.71,BR,1693471075
112,maragogi,-9.0122,-35.2225,23.87,86,30,3.02,BR,1693471075
113,rio preto da eva,-2.6994,-59.6997,24.19,52,41,0.23,BR,1693471076
114,luderitz,-26.6481,15.1594,15.1,74,1,6.48,NA,1693471076
115,wailua homesteads,22.0669,-159.378,26.44,83,0,8.23,US,1693471077
116,hithadhoo,-0.6,73.0833,27.5,74,83,2.98,MV,1693471077
117,constantia,44.1833,28.65,25.38,62,7,3.12,RO,1693471078
118,queenstown,-31.8976,26.8753,24.88,15,0,9.38,ZA,1693471078
119,dubois,38.3464,-86.8897,13.45,97,0,1.54,US,1693471079
120,weno,7.4515,151.8468,28.97,84,100,2.06,FM,1693471079
121,laguna,38.421,-121.4238,24.88,58,0,2.57,US,1693471080
122,hasaki,35.7333,140.8333,31.27,80,94,5.53,JP,1693471027
123,flin flon,54.7682,-101.865,14.48,67,89,2.98,CA,1693471081
124,tallahassee,30.4383,-84.2807,24.07,94,75,0.0,US,1693471081
125,viransehir,37.2353,39.7631,35.46,20,0,2.68,TR,1693471082
126,kalmunai,7.4167,81.8167,31.27,60,78,5.59,LK,1693471082
127,stanley,54.868,-1.6985,15.41,81,0,0.51,GB,1693470957
128,vila velha,-20.3297,-40.2925,21.64,81,40,4.47,BR,1693471083
129,utrik,11.2278,169.8474,28.68,76,22,7.31,MH,1693471084
130,nar'yan-mar,67.6713,53.087,15.84,52,14,3.57,RU,1693471084
131,nabire,-3.3667,135.4833,26.65,84,94,0.79,ID,1693471085
132,kavaratti,10.5669,72.642,27.84,80,80,7.37,IN,1693471085
133,mccook,40.2019,-100.6257,21.03,59,0,2.06,US,1693471085
134,shalqar,47.8333,59.6,21.53,27,6,8.14,KZ,1693471085
135,okha,53.5739,142.9478,12.16,93,100,8.57,RU,1693471086
136,port alberni,49.2413,-124.8028,15.91,92,100,0.89,CA,1693471086
137,antonio enes,-16.2325,39.9086,26.6,63,70,4.11,MZ,1693471086
138,ust-nera,64.5667,143.2,14.72,90,100,4.03,RU,1693471087
139,fale old settlement,-9.3852,-171.2468,28.41,76,13,6.83,TK,1693471087
140,le lavandou,43.137,6.366,24.9,37,0,3.09,FR,1693471087
141,cidreira,-30.1811,-50.2056,14.16,82,2,2.75,BR,1693471088
142,aldinga beach,-35.2793,138.4604,14.31,84,61,3.31,AU,1693471088
143,port mathurin,-19.6833,63.4167,22.4,71,4,5.1,MU,1693471088
144,palikir - national government center,6.9248,158.1611,28.47,84,100,2.57,FM,1693470957
145,jimenez,28.3333,-105.4,21.59,40,26,0.77,MX,1693471089
146,porbandar,21.6422,69.6093,29.21,59,27,4.25,IN,1693471089
147,pangody,65.85,74.4859,15.87,40,99,5.25,RU,1693471089
148,takoradi,4.8845,-1.7554,25.8,83,100,3.36,GH,1693471089
149,jamestown,42.097,-79.2353,15.77,90,100,3.6,US,1693471090
150,waingapu,-9.6567,120.2641,27.52,44,55,8.0,ID,1693471090
151,carnarvon,-24.8667,113.6333,23.2,64,0,4.67,AU,1693470931
152,vila franca do campo,37.7167,-25.4333,21.23,75,92,0.85,PT,1693471090
153,benito juarez,19.385,-99.165,18.9,64,100,2.06,MX,1693470829
154,colonia,50.9333,6.95,17.81,73,20,3.6,DE,1693471091
155,atafu village,-8.5421,-172.5159,28.62,76,14,6.6,TK,1693471091
156,kiamba,5.9894,124.6242,28.69,73,18,1.6,PH,1693471091
157,barkot,30.8167,78.2,30.28,55,13,2.9,IN,1693471092
158,peace river,56.2501,-117.286,18.17,79,100,4.63,CA,1693471092
159,prince rupert,54.3161,-130.3201,14.05,100,100,3.6,CA,1693471092
160,port alfred,-33.5906,26.891,29.35,30,33,5.26,ZA,1693471092
161,sarangani,5.4033,125.4636,28.81,75,13,5.68,PH,1693471093
162,avarua,-21.2078,-159.775,20.03,64,20,1.03,CK,1693471093
163,sungai penuh,-2.0833,101.3833,24.94,66,84,2.16,ID,1693471093
164,pangani,-5.4333,38.9667,27.53,61,19,4.88,TZ,1693471094
165,prairie view,30.0933,-95.9877,25.85,66,0,2.02,US,1693471094
166,ilulissat,69.2167,-51.1,3.01,93,100,3.09,GL,1693471094
167,yellowknife,62.456,-114.3525,16.98,96,92,1.79,CA,1693471095
168,walvis bay,-22.9575,14.5053,12.83,73,68,5.29,NA,1693471095
169,nadi,-17.8,177.4167,24.0,73,75,2.57,FJ,1693470577
170,greymouth,-42.4667,171.2,6.16,84,71,1.56,NZ,1693471095
171,nemuro,43.3236,145.575,19.33,94,28,8.26,JP,1693470880
172,puerto madero,14.7208,-92.4215,26.94,79,100,2.71,MX,1693471096
173,ciudad insurgentes,25.2625,-111.7753,26.38,78,27,1.6,MX,1693471096
174,ilha de mocambique,-15.0342,40.7358,25.04,70,46,3.66,MZ,1693471096
175,astrakhan,46.3497,48.0408,26.93,26,0,3.13,RU,1693471095
176,kanggye,40.9695,126.5852,22.58,73,7,1.39,KP,1693471097
177,lincoln,40.8,-96.667,19.95,79,0,5.14,US,1693471097
178,yinchuan,38.4681,106.2731,31.09,16,100,1.43,CN,1693470663
179,xai-xai,-25.0519,33.6442,26.71,42,0,1.65,MZ,1693471098
180,albany,42.6001,-73.9662,15.25,82,41,3.01,US,1693471098
181,howrah,22.5892,88.3103,35.0,59,75,2.57,IN,1693470918
182,kashgar,39.4547,75.9797,31.56,22,0,4.0,CN,1693471099
183,jieshi,22.8134,115.8257,25.94,89,100,10.22,CN,1693471099
184,san patricio,28.017,-97.5169,28.91,60,7,2.74,US,1693471099
185,adrar,20.5022,-10.0711,33.43,36,51,4.66,MR,1693471099
186,leava,-14.3,-178.1667,27.13,84,33,10.95,WF,1693471100
187,codrington,-38.2667,141.9667,11.38,74,87,7.16,AU,1693470924
188,tokonou,9.65,-9.7833,23.39,88,98,1.02,GN,1693471100
189,callao,-12.0667,-77.15,19.84,77,100,5.14,PE,1693471101
190,morehead city,34.7229,-76.726,26.11,92,100,4.02,US,1693471101
191,ilhabela,-23.7781,-45.3581,17.31,83,12,1.02,BR,1693471101
192,padang,-0.9492,100.3543,31.03,78,87,3.95,ID,1693470566
193,sal rei,16.1833,-22.9167,27.11,89,75,3.6,CV,1693471102
194,vilyuchinsk,52.9306,158.4028,19.15,77,71,4.7,RU,1693470998
195,mana,5.6592,-53.7767,24.68,92,25,2.15,GF,1693471102
196,ballina,-28.8667,153.5667,18.15,77,61,1.58,AU,1693470935
197,kalemie,-5.9475,29.1947,27.35,43,1,4.85,CD,1693471103
198,honmachi,32.5,130.6,26.22,70,85,4.11,JP,1693471103
199,kasane,-17.8167,25.15,25.57,20,0,2.47,BW,1693471103
200,garden city,42.3256,-83.331,12.14,93,0,2.06,US,1693471104
201,ijebu-ife,6.7784,4.0339,26.51,82,100,1.51,NG,1693471104
202,kabanjahe,3.1001,98.4908,22.05,81,100,1.91,ID,1693471104
203,badger,64.8,-147.5333,11.14,96,100,1.54,US,1693471104
204,zouerate,22.7187,-12.4521,30.34,36,99,3.06,MR,1693471105
205,kapa'a,22.0752,-159.319,27.18,83,0,8.23,US,1693471105
206,ksar chellala,35.2122,2.3189,24.13,35,0,1.67,DZ,1693471105
207,mananjary,-21.2167,48.3333,23.42,58,25,2.04,MG,1693471105
208,port elizabeth,-33.918,25.5701,20.16,73,0,6.17,ZA,1693471106
209,orkney,-26.9802,26.6727,21.86,22,0,2.72,ZA,1693471106
210,port lincoln,-34.7333,135.8667,12.44,77,43,3.79,AU,1693470835
211,igra,57.5558,53.0547,17.26,56,43,7.17,RU,1693471106
212,nova sintra,14.8667,-24.7167,23.9,83,99,6.33,CV,1693471107
213,sao miguel do araguaia,-13.275,-50.1628,25.14,60,4,1.02,BR,1693471107
214,polyarnyy,69.1989,33.4478,15.95,71,94,2.03,RU,1693471107
215,kavieng,-2.5744,150.7967,27.08,77,100,7.03,PG,1693471108
216,balapur,20.6667,76.7667,34.31,38,11,3.34,IN,1693471108
217,lansdowne,39.9382,-75.2719,19.13,76,75,4.12,US,1693471108
218,iacu,-12.7672,-40.2117,20.54,97,45,0.72,BR,1693471109
219,breaux bridge,30.2735,-91.8993,23.99,70,0,2.06,US,1693471109
220,humpolec,49.5415,15.3593,16.95,77,45,7.42,CZ,1693471109
221,tazovsky,67.4667,78.7,12.03,45,41,3.25,RU,1693471109
222,iwon-up,40.3231,128.6553,22.94,88,71,1.82,KP,1693471110
223,lebu,-37.6167,-73.65,6.72,83,71,2.44,CL,1693471110
224,gadzhiyevo,69.2551,33.3362,15.84,71,94,2.3,RU,1693471110
225,miches,18.9836,-69.0476,26.12,91,100,1.21,DO,1693471111
226,massawa,15.6097,39.45,36.53,44,78,1.15,ER,1693471111
227,ngou,5.1959,10.3844,21.68,75,99,0.57,CM,1693471111
228,g'uzor,38.6214,66.2522,26.02,8,0,4.89,UZ,1693471111
229,mthatha,-31.5889,28.7844,26.31,24,0,1.03,ZA,1693471112
230,najaf,31.9985,44.3398,38.88,19,0,5.14,IQ,1693471112
231,ciudad bolivar,8.1222,-63.5497,24.96,84,47,3.19,VE,1693471112
232,aginskoye,51.1,114.53,25.46,27,5,4.18,RU,1693471112
233,bondo,3.8146,23.6866,30.75,51,86,1.59,CD,1693471113
234,anisoc,1.8658,10.7689,24.21,82,95,0.66,GQ,1693471113
235,praya,14.9215,-23.5087,27.3,83,40,5.66,CV,1693470882
236,kudahuvadhoo,2.6708,72.8944,27.13,79,93,5.14,MV,1693471114
237,bakchar,57.0186,82.0711,24.16,51,100,4.12,RU,1693471114
238,mata-utu,-13.2816,-176.1745,27.35,82,28,10.08,WF,1693471070
239,miranda,3.2499,-76.2281,20.07,71,70,2.01,CO,1693471115
